;budget vegan curry <mask> rice;vegan <mask> soup;quick one pot <mask> pasta;vegetarian <mask> fried rice;asian <mask> soup noodles;quick and easy <mask> fried noodles;quick vegan <mask> pasta;cheap dairy-free <mask> soup;gluten-free <mask> cheesecake;quick vegetarian <mask> salad with mozzarella;vegetarian creamy <mask> pasta;cheap vegetarian <mask> pasta;gluten-free tomato <mask> pasta
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0;0;0;0
